"module","EntrezGene.ID","HUGO.gene.symbol","agilent","affy","coefficient","NMSE"
"ESR1","2099","ESR1","NM_000125","205225_at","1","0"
,"23158","TBC1D9","AB020689","212956_at","0.818853934","0.329519058"
,"2625","GATA3","NM_002051","209602_s_at","0.808404454","0.340901046"
,"771","CA12","NM_001218","204508_s_at","0.769664466","0.403723308"
,"3169","FOXA1","NM_004496","204667_at","0.747740313","0.445912639"
,"4602","MYB","NM_005375","204798_at","0.724360247","0.476220193"
,"7802","DNALI1","NM_003462","205186_at","0.722064641","0.476993136"
,"18","ABAT","NM_020686","209459_s_at","0.68431164","0.500878387"
,"7494","XBP1","NM_005080","200670_at","0.706606341","0.504567097"
,"57758","SCUBE2","NM_020974","219197_s_at","0.706307294","0.507028611"
,"2066","ERBB4","AF007153","214053_at","0.705524131","0.50920309"
,"9","NAT1","NM_000662","214440_at","0.68994857","0.524568765"
,"10551","AGR2","NM_006408","209173_at","0.682493984","0.524896233"
,"987","LRBA","M83822","212692_s_at","0.667204458","0.545200585"
,"56521","DNAJC12","AF176012","218976_at","0.654147619","0.552279601"
,"2203","FBP1","NM_000507","209696_at","0.666017848","0.563765784"
,"51466","EVL","NM_016337","217838_s_at","0.653404963","0.564019798"
,"51442","VGLL1","NM_016267","215729_s_at","-0.661295609","0.567442475"
,"57496","MKL2","NM_014048","218259_at","0.64903192","0.567499146"
,"7031","TFF1","NM_003225","205009_at","0.6449711","0.567670532"
,"1153","CIRBP","NM_001280","200810_s_at","0.644376986","0.57712969"
,"26227","PHGDH","NM_006623","201397_at","-0.649288086","0.582061385"
,"1555","CYP2B6","M29873","206754_s_at","0.631227682","0.596212258"
,"6648","SOD2","NM_000636","215223_s_at","-0.626227076","0.605433039"
,"55638","NA","NM_017786","218692_at","0.629800859","0.605503031"
,"221061","C10orf38","AL050367","212771_at","-0.619116223","0.620120942"
,"7033","TFF3","NM_003226","204623_at","0.616219874","0.620667764"
,"53335","BCL11A","NM_018014","219497_s_at","-0.617516345","0.624593924"
,"79818","ZNF552","Contig43054","219741_x_at","0.610820144","0.627481194"
,"57613","KIAA1467","AB040900","213234_at","0.590842681","0.631251573"
,"8416","ANXA9","NM_003568","210085_s_at","0.600083497","0.632229077"
,"582","BBS1","Contig1503_RC","218471_s_at","0.607975339","0.634990977"
,"54463","NA","NM_019000","218532_s_at","0.601669708","0.636624769"
,"55733","HHAT","NM_018194","219687_at","0.57829406","0.638592631"
,"2674","GFRA1","NM_005264","205696_s_at","0.584823646","0.638780117"
,"4478","MSN","NM_002444","200600_at","-0.591834873","0.643848416"
,"51097","SCCPDH","NM_016002","201825_s_at","0.594863448","0.646197689"
,"54502","NA","NM_019027","218035_s_at","0.597290216","0.649932337"
,"26018","LRIG1","AL117666","211596_s_at","0.591723382","0.65103686"
,"55793","FAM63A","NM_018379","221856_s_at","0.586608892","0.655692588"
,"3868","KRT16","NM_005557","209800_at","-0.549497975","0.660555073"
,"54961","SSH3","NM_017857","219919_s_at","0.580160177","0.662407239"
,"60481","ELOVL5","AF111849","208788_at","0.582552358","0.663927448"
,"3667","IRS1","NM_005544","204686_at","0.57148821","0.670004986"
,"83439","TCF7L1","Contig57725_RC","221016_s_at","-0.576851661","0.670185709"
,"10950","BTG3","NM_006806","205548_s_at","-0.578035847","0.671668378"
,"3572","IL6ST","NM_002184","204863_s_at","0.566168955","0.672265327"
,"4783","NFIL3","NM_005384","203574_at","-0.55143972","0.674600099"
,"51161","C3orf18","NM_016210","219114_at","0.553100882","0.675614902"
,"2296","FOXC1","NM_001453","213260_at","-0.562466127","0.677073594"
,"6664","SOX11","NM_003108","204914_s_at","-0.578389737","0.677177874"
,"5613","PRKX","NM_005044","204061_at","-0.555390767","0.679650809"
,"8543","LMO4","NM_006769","209204_at","-0.567116721","0.680574997"
,"55686","MREG","NM_018000","219648_at","0.57186844","0.680694279"
,"8100","IFT88","NM_006531","204703_at","0.55028445","0.682287138"
