probe,correlation,average.good.prognosis.profile,EntrezGene.ID,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
NM_003748,-0.420671,0.1235,8659,ALDH4A1,ALDH4A1,1p36,ALDH4|P5CD|P5CDh|P5CDhL|P5CDhS,"aldehyde dehydrogenase 4 family, member A1"
NM_003862,-0.410964,0.05159091,8817,FGF18,FGF18,5q34,FGF-18|ZFGF5,fibroblast growth factor 18
Contig32125_RC,-0.409054,0.05409091,NA,NA,NA,NA,NA,NA
U82987,-0.407002,0.0615,27113,BBC3,BBC3,19q13.3-q13.4,JFY1|PUMA|PUMA/JFY1,BCL2 binding component 3
AB037863,-0.402335,0.06334091,NA,NA,NA,NA,NA,NA
NM_020974,-0.399987,-0.06231818,57758,SCUBE2,SCUBE2,11p15.3,CEGP1|Cegb1|Cegf1|FLJ16792|FLJ35234|MGC133057,"signal peptide, CUB domain, EGF-like 2"
Contig55377_RC,-0.3906,0.05065909,146923,RUNDC1,RUNDC1,17q21.31,DKFZp761H0421,RUN domain containing 1
NM_003882,-0.384479,0.05972727,8840,WISP1,WISP1,8q24.1-q24.3,CCN4|WISP1c|WISP1i|WISP1tc,WNT1 inducible signaling pathway protein 1
NM_000849,-0.380831,0.02093182,2947,GSTM3,GSTM3,1p13.3,GST5|GSTB|GSTM3-3|GTM3|MGC3310|MGC3704,glutathione S-transferase M3 (brain)
Contig48328_RC,-0.375252,-0.085,151126,ZNF533,ZNF533,2q31.2-q31.3,FLJ25270,zinc finger protein 533
Contig46223_RC,-0.374289,0.06893182,146760,RTN4RL1,RTN4RL1,17p13.3,DKFZp547J144|NGRH2|NgR3,reticulon 4 receptor-like 1
NM_006117,-0.37329,0.05554546,10455,PECI,PECI,6p24.3,ACBD2|DRS1|HCA88|dJ1013A10.3,"peroxisomal D3,D2-enoyl-CoA isomerase"
NM_003239,-0.371524,0.03597727,7043,TGFB3,TGFB3,14q24,ARVD|FLJ16571|TGF-beta3,"transforming growth factor, beta 3"
NM_018401,-0.368349,0.08359091,55351,STK32B,STK32B,4p16.2-p16.1,HSA250839|STK32|STKG6|YANK2,serine/threonine kinase 32B
AF257175,-0.3659,0.0825,10455,PECI,PECI,6p24.3,ACBD2|DRS1|HCA88|dJ1013A10.3,"peroxisomal D3,D2-enoyl-CoA isomerase"
AF201951,-0.363953,0.03097727,58475,MS4A7,MS4A7,11q12,4SPAN2|CD20L4|CFFM4|MGC22368|MS4A8,"membrane-spanning 4-domains, subfamily A, member 7"
NM_001282,-0.363326,0.05681818,163,AP2B1,AP2B1,17q11.2-q12,ADTB2|AP105B|AP2-BETA|CLAPB1|DKFZp781K0743,"adaptor-related protein complex 2, beta 1 subunit"
Contig63102_RC,-0.359255,0.04086364,79132,LGP2,NA,17q21.2,D11lgp2e,likely ortholog of mouse D11lgp2
NM_018354,0.356001,-0.15279545,55321,C20orf46,C20orf46,20p13,FLJ11190,chromosome 20 open reading frame 46
NM_007036,0.356542,-0.16659091,NA,NA,NA,NA,NA,NA
NM_004702,0.356595,-0.23893182,9134,CCNE2,CCNE2,8q22.1,CYCE2,cyclin E2
Contig2399_RC,0.356602,-0.08413636,NA,NA,NA,NA,NA,NA
NM_001809,0.357716,-0.23568182,1058,CENPA,CENPA,2p24-p21,NA,centromere protein A
Contig20217_RC,0.357877,-0.17738636,NA,NA,NA,NA,NA,NA
NM_003981,0.358259,-0.21018182,9055,PRC1,PRC1,15q26.1,ASE1|MGC1671|MGC3669,protein regulator of cytokinesis 1
NM_007203,0.359573,-0.08195455,NA,NA,NA,NA,NA,NA
NM_006681,0.359698,-0.3105,10874,NMU,NMU,4q12,NA,neuromedin U
AF055033,0.359944,-0.16643182,3488,IGFBP5,IGFBP5,2q33-q36,IBP5,insulin-like growth factor binding protein 5
NM_014889,0.360044,-0.09445455,10531,PITRM1,PITRM1,10p15.2,KIAA1104|MGC138192|MGC141929|MP1|hMP1,pitrilysin metallopeptidase 1
NM_020386,0.360778,-0.20509091,57110,HRASLS,HRASLS,3q29,A-C1|H-REV107|HRASLS1|HSD28,HRAS-like suppressor
NM_000599,0.361285,-0.25409091,3488,IGFBP5,IGFBP5,2q33-q36,IBP5,insulin-like growth factor binding protein 5
Contig56457_RC,0.361645,-0.06988636,91283,C9orf30,C9orf30,9q31.1,FLJ34973|L8|MGC17337,chromosome 9 open reading frame 30
NM_005915,0.363852,-0.06177273,4175,MCM6,MCM6,2q21,MCG40308|Mis5|P105MCM,minichromosome maintenance deficient 6 homolog (S. cerevisiae)
Contig24252_RC,0.364986,-0.19947727,NA,NA,NA,NA,NA,NA
Contig55725_RC,0.365347,-0.37670455,83879,CDCA7,CDCA7,2q31,FLJ14722|FLJ14736|JPO1|MGC34109,cell division cycle associated 7
NM_002916,0.365585,-0.11986364,5984,RFC4,RFC4,3q27,A1|MGC27291|RFC37,"replication factor C (activator 1) 4, 37kDa"
NM_014321,0.365812,-0.20525,23594,ORC6L,ORC6L,16q12,ORC6,"origin recognition complex, subunit 6 like (yeast)"
NM_006931,0.366486,-0.07213636,6515,SLC2A3,SLC2A3,12p13.3,FLJ90380|GLUT3,"solute carrier family 2 (facilitated glucose transporter), member 3"
AL080079,0.367388,-0.35322727,57211,GPR126,GPR126,6q24.1,DREG|PS1TP2|VIGR,G protein-coupled receptor 126
Contig51464_RC,0.367446,-0.06852273,NA,NA,NA,NA,NA,NA
NM_000788,0.367698,-0.08870454,1633,DCK,DCK,4q13.3-q21.1,MGC117410|MGC138632,deoxycytidine kinase
NM_016448,0.369416,-0.13404546,51514,DTL,DTL,1q32.1-q32.2,CDT2|DCAF2|L2DTL|RAMP,denticleless homolog (Drosophila)
X05610,0.370857,-0.08879545,1284,COL4A2,COL4A2,13q34,DKFZp686I14213|FLJ22259,"collagen, type IV, alpha 2"
NM_014791,0.370858,-0.22936364,9833,MELK,MELK,9p13.2,HPK38|KIAA0175,maternal embryonic leucine zipper kinase
Contig40831_RC,0.372931,-0.19506818,NA,NA,NA,NA,NA,NA
AK000745,0.373061,-0.15975,92140,MTDH,MTDH,8q22.1,3D3|AEG-1|AEG1|LYRIC,metadherin
NM_015984,0.373876,-0.09331818,51377,UCHL5,UCHL5,1q32,CGI-70|UCH37,ubiquitin carboxyl-terminal hydrolase L5
NM_016577,0.376227,-0.24990909,51560,RAB6B,RAB6B,3q22.1,NA,"RAB6B, member RAS oncogene family"
Contig32185_RC,0.379169,-0.11415909,160897,GPR180,GPR180,13q32.1,ITR,G protein-coupled receptor 180
AF052162,0.380834,-0.18677273,79888,AYTL2,AYTL2,5p15.33,FLJ12443|LPCAT1|PFAAP3|lpcat,acyltransferase like 2
AF073519,0.38334,-0.09188636,NA,NA,NA,NA,NA,NA
NM_003607,0.384392,-0.10738636,8476,CDC42BPA,CDC42BPA,1q42.11,DKFZp686L1738|DKFZp686P1738|FLJ23347|KIAA0451|MRCK|MRCKA|PK428,CDC42 binding protein kinase alpha (DMPK-like)
NM_006101,0.385893,-0.16184091,10403,KNTC2,KNTC2,18p11.32,HEC|HEC1|NDC80|hsNDC80,kinetochore associated 2
NM_003875,0.386515,-0.07747727,8833,GMPS,GMPS,3q24,NA,guanine monphosphate synthetase
Contig25991,0.390367,-0.11031818,1894,ECT2,ECT2,3q26.1-q26.2,FLJ10461|MGC138291,epithelial cell transforming sequence 2 oncogene
Contig35251_RC,0.390407,-0.12215909,NA,NA,NA,NA,NA,NA
NM_004994,0.391694,-0.40138636,4318,MMP9,MMP9,20q11.2-q13.1,CLG4B|GELB|MMP-9,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)"
NM_000436,0.392119,-0.10006818,5019,OXCT1,OXCT1,5p13.1,OXCT|SCOT,3-oxoacid CoA transferase 1
NM_002073,0.395461,-0.17668182,2781,GNAZ,GNAZ,22q11.22,NA,"guanine nucleotide binding protein (G protein), alpha z polypeptide"
NM_002019,0.398066,-0.09261364,NA,NA,NA,NA,NA,NA
NM_000127,0.399515,-0.06125,2131,EXT1,EXT1,8q24.11-q24.13,EXT|ttv,exostoses (multiple) 1
NM_020188,0.400072,-0.11004546,56942,C16orf61,C16orf61,16q23.2,2310061C15Rik|DC13,chromosome 16 open reading frame 61
AL137718,0.404979,-0.12102273,81624,DIAPH3,DIAPH3,13q21.2,DKFZP434C0931|DKFZp686A13178|DRF3|FLJ34705|diap3,diaphanous homolog 3 (Drosophila)
Contig28552_RC,0.409259,-0.17013636,81624,DIAPH3,DIAPH3,13q21.2,DKFZP434C0931|DKFZp686A13178|DRF3|FLJ34705|diap3,diaphanous homolog 3 (Drosophila)
Contig38288_RC,0.414971,-0.10793182,169714,QSCN6L1,QSCN6L1,9q34.3,DKFZp762A2013|QSOX2|RP11-83N9.4|SOXN,quiescin Q6-like 1
AA555029_RC,0.424122,-0.12788636,NA,NA,NA,NA,NA,NA
NM_016359,0.424927,-0.17597727,51203,NUSAP1,NUSAP1,15q15.1,ANKT|BM037|FLJ13421|LNP|PRO0310p1|Q0310|SAPL,nucleolar and spindle associated protein 1
Contig46218_RC,0.432539,-0.16436364,81624,DIAPH3,DIAPH3,13q21.2,DKFZP434C0931|DKFZp686A13178|DRF3|FLJ34705|diap3,diaphanous homolog 3 (Drosophila)
Contig63649_RC,0.468129,-0.15136364,NA,NA,NA,NA,NA,NA
AL080059,0.527145,-0.37304546,85453,TSPYL5,TSPYL5,8q22.1,KIAA1750,TSPY-like 5
