probe,std.cox.coefficient,cox.p.value,er,EntrezGene.ID,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
219340_s_at,-3.83,0.00005,1,2055,CLN8,CLN8,8p23,EPMR,"ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)"
217771_at,-3.865,0.00001,1,51280,GOLPH2,GOLPH2,9q21.33,GP73|PSEC0257,golgi phosphoprotein 2
202418_at,3.63,0.00002,1,10897,YIF1A,YIF1A,11q13,54TM|FinGER7|YIF1|YIF1P,Yip1 interacting factor homolog A (S. cerevisiae)
206295_at,-3.471,0.00016,1,3606,IL18,IL18,11q22.2-q22.3,IGIF|IL-18|IL-1g|IL1F4|MGC12320,interleukin 18 (interferon-gamma-inducing factor)
201091_s_at,3.506,0.00008,1,11335,CBX3,CBX3,7p15.2,HECH|HP1-GAMMA|HP1Hs-gamma,"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"
204015_s_at,-3.476,0.00001,1,1846,DUSP4,DUSP4,8p12-p11,HVH2|MKP-2|MKP2|TYP,dual specificity phosphatase 4
200726_at,3.392,0.00006,1,5501,PPP1CC,PPP1CC,12q24.1-q24.2,PPP1G,"protein phosphatase 1, catalytic subunit, gamma isoform"
200965_s_at,-3.353,0.0008,1,3983,ABLIM1,ABLIM1,10q25,ABLIM|DKFZp781D0148|FLJ14564|KIAA0059|LIMAB1|LIMATIN|MGC1224,actin binding LIM protein 1
210314_x_at,-3.301,0.00038,1,NA,NA,NA,NA,NA,NA
221882_s_at,3.101,0.00033,1,58986,TMEM8,TMEM8,16p13.3,M83|TMEM6,transmembrane protein 8 (five membrane-spanning domains)
217767_at,-3.174,0.00128,1,718,C3,C3,19p13.3-p13.2,ASP|CPAMD1,complement component 3
219588_s_at,3.083,0.0002,1,54892,NCAPG2,NCAPG2,7q36.3,CAP-G2|FLJ20311|LUZP5|MTB|hCAP-G2,"non-SMC condensin II complex, subunit G2"
204073_s_at,3.336,0.00005,1,745,C11orf9,C11orf9,11q12-q13.1,KIAA0954|MGC10781,chromosome 11 open reading frame 9
212567_s_at,-3.054,0.00063,1,4134,MAP4,MAP4,3p21,DKFZp779A1753|MGC8617,microtubule-associated protein 4
211382_s_at,-3.025,0.00332,1,10579,TACC2,TACC2,10q26,AZU-1|ECTACC,"transforming, acidic coiled-coil containing protein 2"
201663_s_at,3.095,0.00044,1,10051,SMC4,SMC4,3q26.1,CAPC|SMC4L1|hCAP-C,structural maintenance of chromosomes 4
221344_at,-3.175,0.00031,1,26529,OR12D2,OR12D2,6p22.2-p21.31,MGC126791|MGC126795|dJ994E9.8|hs6M1-20,"olfactory receptor, family 12, subfamily D, member 2"
210028_s_at,-3.082,0.00086,1,23595,ORC3L,ORC3L,6q14.3-q16.1,LAT|LATHEO|ORC3,"origin recognition complex, subunit 3-like (yeast)"
218782_s_at,3.058,0.00016,1,29028,ATAD2,ATAD2,8q24.13,DKFZp667N1320|MGC131938|MGC142216|MGC29843|MGC5254|PRO2000,"ATPase family, AAA domain containing 2"
201664_at,3.085,0.00009,1,10051,SMC4,SMC4,3q26.1,CAPC|SMC4L1|hCAP-C,structural maintenance of chromosomes 4
219724_s_at,-2.992,0.0004,1,NA,NA,NA,NA,NA,NA
204014_at,-2.791,0.0002,1,1846,DUSP4,DUSP4,8p12-p11,HVH2|MKP-2|MKP2|TYP,dual specificity phosphatase 4
212014_x_at,-2.948,0.00039,1,960,CD44,CD44,11p13,CDW44|ECMR-III|HCELL|IN|LHR|MC56|MDU2|MDU3|MGC10468|MIC4|MUTCH-I|Pgp1,CD44 molecule (Indian blood group)
202240_at,2.931,0.0002,1,5347,PLK1,PLK1,16p12.1,PLK|STPK13,polo-like kinase 1 (Drosophila)
